	long	lat	id
250	3237	595	Ep
251	3298	579	Ep
252	3358	574	Ep
253	3415	582	Ep
254	3467	603	Ep
255	3511	635	Ep
256	3546	677	Ep
257	3573	727	Ep
258	3591	784	Ep
259	3601	848	Ep
260	3554	863	Ep
261	3511	887	Ep
262	3474	918	Ep
263	3443	956	Ep
264	3420	1001	Ep
265	3405	1049	Ep
266	3400	1102	Ep
267	2898	910	Ea
268	2862	983	Ea
269	2834	1056	Ea
270	2814	1129	Ea
271	2756	1082	Ea
272	2691	1044	Ea
273	2620	1016	Ea
274	2545	999	Ea
275	2466	993	Ea
276	2402	997	Ea
277	2341	1008	Ea
278	2344	920	Ea
279	2358	828	Ea
280	2383	733	Ea
281	2412	658	Ea
282	2447	588	Ea
283	2487	525	Ea
284	2530	469	Ea
285	2577	421	Ea
286	2627	381	Ea
287	2678	349	Ea
288	2730	328	Ea
289	2834	315	Ea
290	2934	350	Ea
291	2977	384	Ea
292	3013	429	Ea
293	3042	483	Ea
294	3063	545	Ea
295	3077	613	Ea
296	3083	686	Ea
297	3016	749	Ea
298	2954	824	Ea
299	2898	910	Ea
300	2342	1008	MSp
301	2267	1033	MSp
302	2197	1068	MSp
303	2135	1113	MSp
304	2080	1166	MSp
305	2034	1228	MSp
306	1997	1295	MSp
307	1956	1263	MSp
308	1919	1222	MSp
309	1944	1160	MSp
310	1962	1091	MSp
311	1972	1017	MSp
312	1973	937	MSp
313	1966	854	MSp
314	1950	769	MSp
315	1921	674	MSp
316	1883	587	MSp
317	1837	509	MSp
318	1866	446	MSp
319	1900	390	MSp
320	1939	342	MSp
321	1982	303	MSp
322	2078	256	MSp
323	2183	256	MSp
324	2234	274	MSp
325	2281	303	MSp
326	2325	342	MSp
327	2364	391	MSp
328	2399	447	MSp
329	2428	511	MSp
330	2451	582	MSp
331	2414	654	MSp
332	2383	733	MSp
333	2358	828	MSp
334	2344	920	MSp
335	2342	1008	MSp
336	1473	2144	ABara
337	1483	2213	ABara
338	1505	2281	ABara
339	1537	2347	ABara
340	1579	2411	ABara
341	1630	2470	ABara
342	1690	2524	ABara
343	1759	2571	ABara
344	1835	2612	ABara
345	1848	2617	ABara
346	1840	2643	ABara
347	1809	2702	ABara
348	1768	2755	ABara
349	1718	2800	ABara
350	1660	2836	ABara
351	1595	2865	ABara
352	1525	2885	ABara
353	1450	2896	ABara
354	1371	2898	ABara
355	1290	2890	ABara
356	1208	2872	ABara
357	1126	2844	ABara
358	971	2760	ABara
359	850	2650	ABara
360	803	2588	ABara
361	767	2522	ABara
362	741	2454	ABara
363	727	2386	ABara
364	725	2317	ABara
365	736	2249	ABara
366	804	2258	ABara
367	871	2258	ABara
368	936	2248	ABara
369	998	2228	ABara
370	1055	2199	ABara
371	1107	2159	ABara
372	1148	2116	ABara
373	1181	2067	ABara
374	1206	2013	ABara
375	1223	1956	ABara
376	1273	2016	ABara
377	1332	2068	ABara
378	1399	2111	ABara
379	1473	2144	ABara
380	1741	1380	MSa
381	1691	1386	MSa
382	1641	1381	MSa
383	1591	1366	MSa
384	1541	1341	MSa
385	1494	1307	MSa
386	1520	1252	MSa
387	1539	1193	MSa
388	1551	1132	MSa
389	1555	1068	MSa
390	1549	995	MSa
391	1534	924	MSa
392	1508	858	MSa
393	1474	797	MSa
394	1432	741	MSa
395	1382	691	MSa
396	1326	649	MSa
397	1264	614	MSa
398	1279	552	MSa
399	1300	494	MSa
400	1327	443	MSa
401	1359	400	MSa
402	1439	337	MSa
403	1537	314	MSa
404	1588	319	MSa
405	1639	335	MSa
406	1690	361	MSa
407	1738	397	MSa
408	1784	441	MSa
409	1826	493	MSa
410	1865	553	MSa
411	1899	619	MSa
412	1928	691	MSa
413	1950	769	MSa
414	1965	848	MSa
415	1973	925	MSa
416	1973	1000	MSa
417	1966	1071	MSa
418	1951	1137	MSa
419	1931	1197	MSa
420	1904	1250	MSa
421	1871	1297	MSa
422	1833	1334	MSa
423	1790	1362	MSa
424	1741	1380	MSa
425	1044	1572	ABala
426	1100	1569	ABala
427	1155	1560	ABala
428	1190	1632	ABala
429	1215	1705	ABala
430	1230	1779	ABala
431	1235	1851	ABala
432	1230	1922	ABala
433	1215	1989	ABala
434	1189	2052	ABala
435	1154	2109	ABala
436	1107	2159	ABala
437	1048	2204	ABala
438	981	2235	ABala
439	909	2253	ABala
440	834	2259	ABala
441	756	2253	ABala
442	678	2235	ABala
443	600	2204	ABala
444	525	2162	ABala
445	453	2109	ABala
446	386	2045	ABala
447	328	1972	ABala
448	248	1817	ABala
449	214	1656	ABala
450	215	1579	ABala
451	228	1504	ABala
452	254	1434	ABala
453	291	1371	ABala
454	341	1316	ABala
455	389	1279	ABala
456	441	1251	ABala
457	498	1231	ABala
458	557	1219	ABala
459	583	1285	ABala
460	618	1346	ABala
461	661	1402	ABala
462	712	1450	ABala
463	768	1492	ABala
464	831	1526	ABala
465	898	1551	ABala
466	969	1566	ABala
467	1044	1572	ABala
468	3400	1102	P4
469	3405	1050	P4
470	3420	1001	P4
471	3443	957	P4
472	3473	919	P4
473	3510	887	P4
474	3553	863	P4
475	3600	848	P4
476	3650	843	P4
477	3701	848	P4
478	3748	863	P4
479	3790	887	P4
480	3827	919	P4
481	3858	957	P4
482	3881	1001	P4
483	3895	1050	P4
484	3900	1102	P4
485	3895	1154	P4
486	3881	1202	P4
487	3858	1246	P4
488	3827	1285	P4
489	3790	1316	P4
490	3701	1355	P4
491	3600	1355	P4
492	3553	1340	P4
493	3510	1316	P4
