	stage	replicate	quality	ID	safeID	input	genesDetected	embryoGenesDetected	pgExpected	embryoPgExpected
st436	16-cell	5	Toss	tossed	NA	1.37618948536082	1460	6763	0.0402413665309706	1.14194543744744
st437	16-cell	5	Toss	tossed	NA	2.42011336547914	2099	6763	0.0711154521162769	1.14194543744744
st438	16-cell	5	Toss	tossed	NA	0.681017995936585	861	6763	0.0204882977222458	1.14194543744744
st439	16-cell	5	Toss	tossed	NA	1.96360042956387	2541	6763	0.061559946879368	1.14194543744744
st440	16-cell	5	Toss	tossed	NA	0.0570115164925	1107	6763	0.00167573468171274	1.14194543744744
st527	16-cell	6	Use	Ep	Ex	1.62638595983544	2251	7655	0.0483010089029912	5.89075457734325
st528	16-cell	6	Use	MSx2	MSx	4.3940583443	2283	7655	0.131953125208588	5.89075457734325
st529	16-cell	6	Use	MSx1	MSx	6.68433447312353	2551	7655	0.205346856556914	5.89075457734325
st530	16-cell	6	Use	Cx2	Cx	14.727003221729	2734	7655	0.464800954927858	5.89075457734325
st531	16-cell	6	Use	Cx1	Cx	24.3316556418545	3179	7655	0.733061427772185	5.89075457734325
st532	16-cell	6	Use	P4	P4	3.65595275174054	2217	7655	0.116209291177593	5.89075457734325
st533	16-cell	6	Use	D	D	0.196643052809065	1397	7655	0.00583128014877289	5.89075457734325
st535	16-cell	6	Use	ABarx	ABarx	23.0706200355652	3265	7655	0.72315839972319	5.89075457734325
st536	16-cell	6	Use	ABalx	ABalx	23.9069135234182	3325	7655	0.734100395305691	5.89075457734325
st537	16-cell	6	Use	ABprx	ABprx	26.93168418114	3247	7655	0.823879721865289	5.89075457734325
st538	16-cell	6	Use	ABarx	ABarx	9.27758141556	2683	7655	0.286644659991799	5.89075457734325
st539	16-cell	6	Use	ABalx	ABalx	19.1089007040444	3099	7655	0.598637399815498	5.89075457734325
st540	16-cell	6	Use	ABprx	ABprx	5.20800496931831	1933	7655	0.154629442080325	5.89075457734325
st541	16-cell	6	Use	ABplx	ABplx	13.1145278808324	2657	7655	0.395461146834382	5.89075457734325
st542	16-cell	6	Use	ABplx	ABplx	15.2471043497625	2925	7655	0.468739467032171	5.89075457734325
st465	16-cell	7	Use	ABprx	ABprx	9.39566905947692	2074	7180	0.278990640885553	7.39723135910015
st466	16-cell	7	Use	ABarx	ABarx	11.1070841887077	1885	7180	0.33607443480473	7.39723135910015
st467	16-cell	7	Use	ABalx	ABalx	47.0250202554545	3139	7180	1.43036762698059	7.39723135910015
st468	16-cell	7	Use	ABplx	ABplx	11.5691662736	2603	7180	0.347979070417356	7.39723135910015
st469	16-cell	7	Use	ABalx	ABalx	23.9911877532667	2826	7180	0.740286463313737	7.39723135910015
st470	16-cell	7	Use	ABarx	ABarx	17.8975991070222	2666	7180	0.541549192099931	7.39723135910015
st471	16-cell	7	Use	ABplx	ABplx	7.36498648717241	1823	7180	0.218374309067021	7.39723135910015
st472	16-cell	7	Use	ABprx	ABprx	26.6629469686105	3134	7180	0.782029364174507	7.39723135910015
st473	16-cell	7	Use	Ep	Ex	19.0993928422154	2706	7180	0.586718742600959	7.39723135910015
st474	16-cell	7	Use	MSx2	MSx	18.661955135184	2813	7180	0.557628865881842	7.39723135910015
st475	16-cell	7	Use	Ea	Ex	13.4275617609882	2147	7180	0.406362777750337	7.39723135910015
st476	16-cell	7	Use	MSx1	MSx	3.74223031797303	1171	7180	0.105530522529603	7.39723135910015
st477	16-cell	7	Use	Cx2	Cx	4.449679336	1544	7180	0.125440941255601	7.39723135910015
st478	16-cell	7	Use	P4	P4	23.2698003457636	2795	7180	0.737909932324371	7.39723135910015
st479	16-cell	7	Use	D	D	6.38846818954286	1104	7180	0.201988475014013	7.39723135910015
st505	16-cell	8	Use	ABprx	ABprx	2.29640793704056	1913	6694	0.0678621786273783	2.49011898385811
st506	16-cell	8	Use	ABarx	ABarx	16.310855816025	2459	6694	0.489823274477849	2.49011898385811
st507	16-cell	8	Use	ABplx	ABplx	6.63525712750588	2326	6694	0.202469208806206	2.49011898385811
st508	16-cell	8	Use	ABarx	ABarx	5.32372349128571	1532	6694	0.161355559984034	2.49011898385811
st509	16-cell	8	Use	ABprx	ABprx	4.7834052862	1679	6694	0.14506372557528	2.49011898385811
st510	16-cell	8	Use	ABplx	ABplx	7.98753913593443	1773	6694	0.235759395061646	2.49011898385811
st513	16-cell	8	Use	MSx1	MSx	4.8946472696	2148	6694	0.148175607331878	2.49011898385811
