QUALIFIER	NR_NC filter	qt_cluster 200	PC-6	3C	PC32	0	23	41	53	66
194177_x_at	0	NC	123	86	76	153	95	134	91	96
194176_x_at	0	NC	372	465	346	610	343	450	138	164
194175_x_at	0	NC	6	6	5	5	5	4	5	5
194174_x_at	0	NC	47	64	66	44	79	62	81	67
194173_s_at	0	NC	282	359	320	154	198	295	208	253
194172_s_at	0	NC	29	41	38	25	34	38	43	33
194171_s_at	0	NC	5	4	5	4	5	4	6	5
194170_s_at	0	NC	5	4	4	4	5	4	5	5
194169_s_at	0	NC	13	14	9	22	9	11	6	5
194168_s_at	0	NC	76	63	90	37	89	54	80	60
194167_s_at	0	NC	99	170	62	300	129	189	80	106
194166_s_at	0	NC	130	115	100	355	124	140	60	82
194165_s_at	0	NC	6	8	4	9	6	6	5	5
194164_s_at	0	NC	78	169	85	143	52	123	17	47
194163_s_at	0	NC	1606	472	636	584	233	170	117	81
194162_s_at	0	NC	65	143	42	98	26	47	9	30
194161_s_at	0	NC	5	5	4	4	5	5	5	7
194160_s_at	0	NC	313	358	398	216	313	288	412	385
194159_s_at	0	NC	5	5	4	4	5	4	6	7
194158_s_at	0	NC	48	58	50	57	46	60	39	31
194157_s_at	0	NC	6	6	5	5	5	5	6	6
194156_s_at	0	NC	7	8	7	5	6	7	7	9
194155_s_at	0	NC	52	79	70	32	31	67	35	42
194154_x_at	0	NC	5	5	4	4	6	5	5	5
194153_at	0	NC	6	5	4	4	5	4	7	5
194152_x_at	0	NC	6	6	5	5	6	5	6	6
194151_x_at	1	NC	5	5	4	4	5	4	5	5
194150_x_at	0	NC	5	5	5	4	5	4	5	6
194149_x_at	0	NC	6	6	5	5	7	5	5	6
194148_x_at	0	NC	5	6	5	4	6	5	6	6
194147_x_at	0	NC	5	4	4	4	5	4	5	5
194146_x_at	0	NC	5	4	4	4	5	6	6	6
194145_x_at	0	NC	5	5	4	4	5	4	5	5
194144_s_at	0	NC	7	6	5	7	7	5	6	7
194143_x_at	0	NC	5	4	4	4	5	4	5	5
194142_x_at	0	NC	5	4	4	4	5	4	8	12
194141_at	1	NC	5	4	4	4	5	4	5	5
194140_at	1	NC	5	5	5	5	5	5	6	5
194139_s_at	1	NC	130	80	151	69	190	115	232	134
194138_s_at	1	NC	6	5	5	5	6	4	6	6
194137_at	1	NC	5	4	5	4	6	4	5	6
194136_s_at	1	NC	5	5	5	4	5	4	5	5
194135_at	1	NC	5	6	5	5	7	7	9	8
194134_at	1	NC	8	9	9	16	16	12	10	9
194133_at	1	NC	5	5	5	4	5	4	6	5
194132_at	1	NC	5	5	6	4	5	5	6	6
194131_s_at	1	NC	6	5	6	5	8	6	8	8
194130_s_at	1	NC	5	5	5	5	6	5	7	7
194129_s_at	1	1	585	393	495	486	362	165	156	103
194128_s_at	1	NC	7	7	6	5	6	5	6	6
194127_at	1	NC	6	4	4	4	5	4	5	5
194126_s_at	1	NC	15	13	11	15	15	10	11	8
194125_at	1	NC	7	8	7	5	7	5	7	7
194124_s_at	1	NC	5	4	4	4	5	5	5	5
194123_s_at	1	NC	11	13	18	12	17	9	11	8
194122_at	1	NC	6	6	6	5	6	5	7	7
194121_s_at	1	NC	6	6	5	5	6	5	6	6
194120_at	1	NC	19	21	22	18	28	29	24	16
194119_at	1	NC	26	21	31	20	26	14	16	10
194118_s_at	1	2	23	20	22	38	72	98	175	131
194117_at	1	NC	5	4	5	4	5	4	5	5
194116_s_at	1	NC	6	5	4	5	6	4	6	5
194115_s_at	1	NC	6	10	8	6	8	7	6	8
194114_s_at	1	4	8	7	5	5	7	6	6	7
194113_at	1	NC	6	5	6	7	6	5	8	8
194112_at	1	NC	9	11	11	7	9	7	7	7
194111_at	1	NC	7	8	6	7	8	9	7	7
194110_at	1	NC	283	361	390	344	360	500	465	593
194109_s_at	0	NC	5	5	5	4	5	4	5	5
194108_s_at	1	NC	47	63	52	72	63	71	73	99
194107_at	1	NC	8	8	7	7	7	6	6	6
194106_at	1	NC	5	4	4	4	5	4	5	5
194105_at	1	NC	5	4	4	4	5	4	5	5
194104_at	1	NC	5	4	4	4	5	4	5	5
194103_at	1	NC	6	6	5	4	6	5	6	6
194102_at	1	NC	5	4	4	4	5	4	5	5
194101_at	1	NC	5	5	4	4	5	4	5	5
194100_at	1	NC	5	5	4	4	5	4	5	5
194099_at	0	NC	5	5	4	4	5	4	5	5
194098_at	1	NC	5	4	5	4	5	4	5	5
194097_s_at	1	NC	6	6	5	5	5	5	6	7
194096_s_at	1	NC	5	4	4	4	5	4	5	5
194095_at	1	NC	5	5	4	4	5	4	5	5
194094_s_at	1	NC	5	4	5	4	5	4	5	5
194093_s_at	1	NC	7	7	6	5	7	6	8	8
194092_s_at	1	NC	12	11	13	12	19	13	25	21
194091_s_at	1	3	18	18	21	24	32	32	27	28
194090_s_at	1	NC	9	9	8	9	7	6	8	7
194089_s_at	1	NC	5	6	5	4	6	4	6	6
