	Nishimura	Hashimshony	Tintori
hif-1	4.86322912004703	6.21683027380024	6.30282395209991
Y55D9A.2	6.70614763729872	6.32170312533671	7.32891444946586
B0285.4	7.02448106588565	6.62454233855813	7.49551734604626
K09E3.5	4.7726863647037	4.23175585030894	4.95811686965853
Y105E8A.29	3.3885007167359	1.7142877459944	2.18974295104627
C44C10.4	5.44568835079756	4.75579330576036	6.09443325232952
aco-1	5.89086528973269	4.66205158058104	5.87489500478925
T21C9.13	9.28414129867071	9.17607461511404	10.5009799360102
C44B7.7	3.15079063945212	4.22819676309008	3.04813171818711
tbc-11	3.69070195052654	2.5572186513145	3.61168194615355
ZK185.1	1.66430654859803	0	2.95813456677379
ymel-1	5.83153284141309	5.86323897667311	6.29835486145286
pqn-39	4.97833683599714	3.43442028656024	4.11591595907637
Y53F4B.39	4.24143993241936	3.37725935169947	3.81502049786026
cid-1	5.54734153677682	4.54558260205918	7.17101666888294
bath-9	3.79042654080618	4.34020673421776	3.57781388141965
T10C6.7	1.69346312271911	2.07185614990184	2.48452210718521
ZC449.3	5.88647810911108	5.98061889217046	6.53858134881143
C31H1.8	7.01652112484134	7.60844897280071	8.12155616701941
pqn-87	5.86805696422126	6.04438517088367	5.80158316158229
H11E01.3	1.69395680646673	1.7713836997063	2.146318876946
ZK858.7	6.8963368093857	6.75421277850274	7.62526916150475
C17E4.2	4.85176229624972	5.4672115110762	2.49955668756728
nhr-134	1.67486489732733	1.57573843680904	0
F25B4.2	5.84530153255696	5.48690801911068	6.94734498446486
ZC239.21	1.67149897125497	1.82812474721313	1.73723387190583
nhr-25	1.69076146644163	1.65313184569887	2.01298300500215
lgc-45	1.74283810149534	0	0
ZK792.1	2.78488200131732	3.03935639110656	5.10290271840497
K07C5.3	6.54259725539054	6.04043716432869	7.47230292362924
T23D8.7	7.18560778010183	3.37384797984648	7.67312682084167
R06F6.12	7.58273496558612	6.67550952757787	6.78972080025268
uba-1	8.41938486825599	7.8215054067064	8.91424320267
npp-9	7.54834420026142	7.77549371848322	8.37470264265556
C44B7.11	3.95651996057994	2.34343591561314	4.91522617571721
R02D3.7	7.43231999700298	7.06118184149225	8.02567047297307
Y54G2A.26	4.83989673465011	6.44965592531997	6.26817830750778
pdfr-1	1.70809033452727	0	0
C37H5.2	1.71419087927404	1.67925700808174	4.60682579980721
W05H9.2	5.26335111209913	4.34139340319697	6.28211192295719
rme-6	5.27872946053068	3.01841770882348	4.97365451039435
F25H9.6	6.69527507777559	6.97496764784247	7.82233976361091
srx-98	1.76149834594113	1.99920185873679	2.69729949378229
F40A3.4	1.64697112036044	2.93128749578577	2.31312344205143
egrh-1	5.51867448298058	5.30154946137035	6.06683562829283
taf-3	3.09430252226473	0	5.60960304842273
Y92H12A.5	2.78126672967293	1.52375187360173	3.10633721493627
T24C4.2	1.73030990368647	0	2.47604546249215
fre-1	5.82799280749106	6.4197385836108	5.40610751374672
F29B9.12	1.64699442041959	0	0
nsy-4	1.68297411364798	1.51044029817492	0
H17B01.1	4.98122729145848	2.59123331325395	3.94392581730848
ham-1	1.76545077319305	2.39948828213272	4.2113613595208
Y47D3B.6	1.68554159719768	0	3.59980373718014
lad-2	1.70645414939949	0	0
Y23H5B.5	3.73251847570911	5.9393502642509	4.46126314376377
dhs-22	8.4539198731727	8.05410501691505	8.20288537589131
T26A5.2	5.0496518121117	4.52304133364058	6.51779184805616
H01A20.2	5.81111336538312	5.50799317348205	0
scm-1	4.90367275504399	5.76780846448197	4.65629450259487
ceh-44	5.43170191723109	5.18050914797335	7.64238538945006
mca-1	4.53584848480151	3.90481951110077	5.84599047046995
F42H11.1	1.66050269707949	0	0
T21H8.5	1.7215564911072	0	0
K08F9.4	7.43599890468464	6.70494890508082	8.08666664345001
M02B7.4	3.14723493811609	2.41451899769852	3.84872913263302
C36F7.5	1.73001055804574	0	0
pqn-15	1.75296248246492	1.37856350861951	0
C54C6.6	6.84379402626793	7.70091239970888	7.2077831920146
Y106G6D.7	5.2208211823879	4.52625051040237	4.95935433284925
dli-1	7.01286138248988	6.85726280429304	7.63579398288655
C34B2.11	1.75032844721217	2.32673267026373	0
rrc-1	1.70952448492363	0	0
ncx-4	1.62888349856516	0	0
Y41D4A.5	3.30915627395962	4.29041482598361	6.32060039667377
F15A4.2	3.50354107893064	4.19484638410872	6.06286783450661
F25B3.6	7.9056318950422	7.89599158733757	8.25074906181073
F31F6.3	2.8060977462333	0	2.05786916860972
R12E2.8	2.32146912496788	1.94400209242026	5.03143523860844
F28F8.5	7.53013403654892	7.6055264428305	7.30039464351841
cku-70	6.40884619825292	4.94801156625233	6.01939550927921
nhr-190	2.34226354413973	2.35898981509014	3.33973350115667
T28B11.1	5.15487710459204	2.36795477853534	7.34689158259027
mys-1	7.24051007563892	7.19763430087287	7.55580526034834
bli-4	7.13395128235588	5.81361388201029	8.23153496374002
C31E10.5	5.82447731333057	4.77674283951273	6.12983095366747
C45E1.4	3.96560812132153	5.62811385052223	0
mnp-1	1.78387502340989	1.85184270082117	0
aka-1	7.05106427693176	7.04031082105201	7.82450664333813
C33H5.8	6.06723353992148	6.45685925949092	7.28517594000746
uig-1	2.38105811369877	1.67919643167554	3.44261885427252
dct-18	2.74273794659366	3.62301034508033	2.36528762098825
F39H11.1	6.62216187132506	7.48746830357375	7.18281174397135
C05D11.5	2.60693007545557	1.82406705728609	3.31752903836032
col-91	1.68814776916808	0	0
psf-1	6.65335857417893	5.98165805921805	6.76428604630665
C30A5.4	2.23510610975532	1.43932234289418	0
Y54G2A.52	2.28105177103416	0	0
mbk-1	6.03971636085524	3.86739060557183	5.75806922366842
Y54G2A.44	2.28084303089626	0	0
K06H7.3	6.76003014841639	6.31266920957639	7.38489970961832
B0035.15	5.99646415713312	7.70032361483583	7.52285458321164
dhod-1	6.34466718080541	5.96032057190835	6.95773568773282
R186.7	7.28916479465341	7.21451261729007	7.95334448363423
vha-15	6.77512993777437	6.45549506765532	7.35526508989919
F30B5.4	6.8792092054023	5.1557470016536	7.04759876591441
F10G7.9	5.69470926295267	4.72820601922643	6.59375302630519
ags-3	5.33290250398795	4.94690062666418	5.88990169553718
C01G10.8	8.39081561345308	7.9567902999382	8.78341401689273
F35C12.3	1.64635691082411	0	0
cgef-2	2.3397996055579	2.0289852398786	2.81524476220077
C50C3.2	1.7397363520494	0	0
Y18D10A.1	5.59138670253704	4.77581079056479	5.61751178861763
nhr-243	3.56092883657572	3.40457309574455	4.42333774927867
atg-16.1	5.59568021887175	5.20214182694615	6.29745265271093
C23H3.5	5.70443993285505	5.92608766344112	7.8246483531963
htp-3	6.88496184720882	6.19628849450583	6.91601264783701
F33D11.9	7.72243861149088	6.47323179567111	8.86334686793805
CE7X_3.1	1.7858628461055	2.43410009867757	0
cogc-5	6.9253495863919	6.63114306301346	7.53891575664807
F43G9.12	5.69262315897473	4.26024689197839	6.22111398198294
Y34D9A.3	4.6351042687088	5.16175613029939	4.99587413972062
F22D3.6	6.20296801289696	6.45748910946949	2.12757265169729
usp-14	8.75336102073302	8.72757230734121	8.88496821487052
Y54G2A.37	2.31290055688146	0	0
mec-17	3.55506200675728	3.64338928916705	1.70126748269343
F45E10.2	2.81364624695525	2.07021922078984	3.09989754103773
tag-262	7.71666934372155	7.63294729419785	7.99661193721613
K02E7.6	1.70743105355213	0	0
pkc-3	7.0277102823015	7.07944427877918	7.81366924788977
T12A2.7	7.74105206325407	8.28851504291538	8.57123581734812
crh-1	4.82035490766527	3.03179403210421	3.12569308302476
fbxa-10	2.31675799595434	0	0
F36D1.1	5.39081733455302	5.43593278722225	4.93333764049378
smc-5	6.7575752796947	6.73252058206976	7.65543239891078
nspa-5	2.22673775683772	4.06126524498619	2.43186310316605
