Probe Set ID	Gene Symbol	Ensembl
172176_at	---	Y61A9LA.10
172177_x_at	---	Y71H2AL.1
172178_at	---	Y53G8AM.2
172179_x_at	---	---
172180_x_at	grd-16	Y69A2AL.1
172181_x_at	---	Y48G1BL.4
172182_x_at	---	Y48G1BL.6
172183_at	---	---
172184_x_at	---	Y46C8AL.2
172185_x_at	---	---
172186_x_at	---	Y55H10B.1 /// T16A9.1
172187_x_at	---	Y54G2A.26
172188_x_at	---	M04C9.2
172189_at	---	F46A8.7
172190_x_at	---	F59F4.2
172191_x_at	---	C27C7.2 /// ZK1025.4
172192_x_at	---	F44F1.2
172193_at	---	T12D8.5
172194_x_at	---	ZK262.4
172195_x_at	---	---
172196_x_at	col-65	K08C9.4
172197_x_at	col-94 /// col-92	W05B2.6 /// W05B2.1
172198_x_at	col-66	F15D3.3
172199_x_at	---	K03B8.4
172200_x_at	---	C28D4.5
172201_x_at	---	---
172202_x_at	---	F11F1.5
172203_x_at	---	Y41E3.8
172204_at	---	T22H2.4
172205_at	---	C29F7.7
172206_x_at	---	W05H5.2
172207_x_at	---	T06E4.9
172208_x_at	---	C28D4.8
172209_x_at	col-93	W05B2.5
172210_x_at	---	---
172211_x_at	---	F49C5.3 /// Y48A6B.8 /// Y61A9LA.4
172212_x_at	---	---
172213_x_at	---	C27C7.1
172214_x_at	flp-15	ZK525.1
172215_x_at	---	Y7A5A.5
172216_x_at	---	R160.2
172217_x_at	---	F13E9.2
172218_x_at	dod-6	T20G5.7
172219_x_at	---	F11A5.6
172220_x_at	---	C37A5.4 /// C37A5.2
172221_x_at	---	D2024.10 /// AH10.4
172222_at	---	---
172223_x_at	---	W02D9.5
172224_x_at	---	K08D10.7
172225_x_at	---	W09C5.9
172226_at	---	---
172227_x_at	---	K07A1.6
172228_x_at	---	---
172229_x_at	---	T16A9.5
172230_at	---	F48F5.3
172231_x_at	---	C25D7.2
172232_x_at	nspa-9	C40H5.1
172233_at	---	T02D1.7
172234_x_at	---	C41G7.6
172235_x_at	---	ZK84.5
172236_x_at	---	T24F1.5
172237_x_at	---	R08A2.3
172238_x_at	---	K07A1.5
172239_x_at	---	F22D6.7
172240_x_at	cnc-7	F53H2.2
172241_x_at	---	C37A5.8
172242_x_at	---	F36D1.4
172243_x_at	---	R102.2
172244_x_at	---	---
172245_x_at	nspd-2	K07F5.5
172246_at	grsp-2	T28C6.1
172247_x_at	---	---
172248_x_at	---	T20G5.8
172249_x_at	---	B0391.9
172250_x_at	---	---
172251_x_at	---	C04C3.4
172252_x_at	---	H25K10.4
172253_x_at	---	F39E9.7
172254_x_at	nspd-7	Y43C5A.1
172255_x_at	---	Y20C6A.3
172256_x_at	cya-2	F59H6.7
172257_x_at	---	C37C3.3
172258_x_at	---	W04E12.3
172259_x_at	---	C31H5.4
172260_at	---	W06G6.9
172261_x_at	---	ZK666.4
172262_x_at	---	---
172263_x_at	---	F38C2.1
172264_x_at	---	F26F2.4
172265_x_at	---	C47A4.5
172266_x_at	---	C01B9.1
172267_x_at	---	K06A4.6
172268_x_at	nspc-20 /// nspc-16 /// nspc-19	D1025.6 /// D1025.9 /// D1025.4
172269_x_at	---	---
172270_x_at	---	R102.5
172271_x_at	---	F56H9.2
172272_x_at	---	F26F2.2
172273_x_at	---	ZK666.2
172274_x_at	---	F26F2.5
172275_x_at	dnj-25	W07A8.3
172276_x_at	---	T16A9.1
172277_x_at	---	Y44A6D.1
172278_x_at	---	Y47D3A.5
172279_x_at	---	Y51H4A.6
172280_x_at	---	Y19D2B.1
172281_at	---	F31A9.2
172282_x_at	---	T05H4.10
172283_x_at	---	R04E5.7
172284_x_at	---	T27E4.4
172285_x_at	---	W02B3.6
172286_x_at	---	W09C3.8
172287_x_at	---	H04D03.1
172288_x_at	---	B0379.7
172289_x_at	---	W03D8.3
172290_x_at	---	C53B7.6
172291_x_at	---	F49C5.3 /// Y48A6B.8 /// Y61A9LA.4
172292_x_at	---	D2092.8
172293_x_at	---	Y26D4A.5
172294_x_at	---	Y9D1A.2
172295_at	---	---
172296_x_at	nuo-1	C09H10.3
172297_x_at	---	T23F11.2
172298_x_at	---	F49E2.5
172299_x_at	---	H11L12.1
172300_x_at	---	F39B3.3
172301_at	---	W01H2.2
172302_x_at	---	F07E5.4
172303_x_at	---	W05H9.3
172304_x_at	---	C32E8.4
172305_x_at	---	Y40B1B.7
172306_x_at	---	Y26D4A.9
172307_x_at	---	---
172308_x_at	---	---
172309_x_at	---	C08E3.13 /// C08E3.1
172310_x_at	---	Y9D1A.1
172311_x_at	---	F39E9.6
172312_x_at	---	K09C6.7 /// K09C6.8
172313_x_at	---	B0546.5
172314_x_at	---	---
172315_x_at	---	E02H9.4
