	Nishimura	Hashimshony	Tintori
F55G1.15	-6.82091063126827	0	-4.17813865830768
unc-93	-5.30608670191475	0	0
smp-1	-3.08435076195417	-0.278724914299852	-1.72675128181689
F52B5.2	-1.37432176777614	-0.557273931150445	-0.334354988417674
unc-54	-6.39109704581783	0	0
valv-1	-7.03730679628559	0	0
C46F11.5	-2.69462543371737	0.066268427391995	0.366342401506276
afd-1	-2.11775588020136	-1.86355673973727	-2.14438525036068
R05G6.1	-6.94651700184609	-0.175920496674498	-4.29052514200765
C54C6.5	-5.30016113616278	0	0
C48D5.3	-5.3326606400046	0	0
cyn-9	-2.53525137758981	0.211069737988183	1.29510136680074
C46F11.3	-3.23102714982204	1.37726579042224	0.510970734267707
C54C6.7	-5.33590862678077	0	0
F34D10.4	-2.27446150038055	0.339111984952507	-0.0147459672578151
C54C6.4	-5.33575215473728	0	0
amx-1	-2.50668068330179	-0.221056150567899	-0.331396540860252
C55C3.5	-1.33085102749728	-0.324094679155799	-1.48289749782417
arf-1.1	-6.04417903093873	0	0
unc-82	-5.56187683856332	0	0
C46A5.1	-6.065828211134	0.637559451575204	0
C14C11.2	-1.25119515605046	-1.12050500527548	0.306544627462248
F42C5.2	-5.76605022555049	0	0
C50F7.10	-5.69551623580664	0.532827838905545	0
srtx-1	-6.5045838841773	0	0
F45E4.7	-6.56818285104961	0	0
F32A7.5	-3.74581984887995	-0.199392598163523	-2.73216813724301
dpy-27	-2.45690501606871	-0.466393827342256	-1.02724424221582
B0496.2	-4.6582760758375	-1.83347636905673	0
F45E4.6	-4.40316714299153	0	0.708378510009238
cyp-25A5	-4.03827371484648	-1.10140323958927	0
tag-224	-2.71247659373409	-3.13907047845728	-4.89523431136395
C36A4.5	-2.37967488514355	0.459177312712159	-0.673489952911118
nhr-8	-6.1092251231127	0	0
F34D10.2	-2.31955043611184	-0.170238161061825	-0.83039732053371
T21B10.1	-1.38744940487849	-0.685923856200514	-2.25592372659378
C50D2.9	-1.26767691526672	-0.669036321023549	-1.03099108149232
ZK1058.3	-2.7994649436053	1.48667371803348	0.101117719772376
ZC317.7	-1.2306507268378	-1.06342910845083	-2.72071680535062
F33H2.6	-1.98613419891565	-0.700530756362518	0.581536343600575
grl-4	-6.01636058217764	0	0
age-1	-1.22197199025815	-0.560269574528197	-0.897692879042788
T09B4.1	-1.22219592980114	0.471139847816139	-0.699671461815419
clec-180	-6.1229566933903	0	0
msi-1	-3.14296139247817	0.625949303400286	0.896703378805406
brc-1	-2.55744701741986	-0.173457640183061	-0.130957762283385
lec-4	-3.20126979249798	-2.28873704563525	-0.537230104945082
F33D4.6	-5.32346861303879	0	0
R09A8.2	-1.48919625004736	0.237845585368519	1.1498270610011
F39B2.1	-1.51118858276197	-1.79578159945814	-0.751416951543636
T12B3.2	-5.60525965842694	0	0
C32A3.3	-2.0409066956765	0.366453594895014	0.243462676986166
R05G6.5	-4.45428182611194	-1.31890281549159	-4.2803672548937
K11B4.1	-2.18838858246111	0.24763470821249	0.103353384863742
dph-1	-2.02516306269675	0.287167610067427	0.624941517451829
ZK1058.5	-3.0698887669667	1.87260734444044	3.07776021317569
F13H10.4	-1.17978317084153	1.32677511886737	-0.762104725769477
tir-1	-3.29692842840471	0.392781517992653	0.907398966416533
F42C5.10	-4.90442817450519	0	0
E04D5.4	-5.37552418221805	0	0
R05G6.9	-3.51425591265668	0.749078669520628	0
C46A5.8	-3.23960778117448	0.179302308679635	3.9984876100518
mmcm-1	-1.64029809073052	-0.349589841875288	0.149025181540302
F33D11.12	-1.11596953523042	-0.0368009084639473	-0.992918605428241
egl-19	-4.30944331722575	0	0
C08G9.2	-4.46476364503125	0	0
F14D7.2	-1.09457170355291	-0.513856700828189	-0.0993530727779502
C36A4.11	-3.27956291593304	-0.578573207357181	1.09932642677756
F34D10.3	-3.21928352309849	0.959155256591955	-1.57348242247769
R05G6.10	-3.69587958804502	-0.175920496674498	-4.29052514200765
F55G1.1	-3.74504075673187	-1.79309239544358	-4.17813865830768
F59B10.6	-5.34620860123249	0	0
Y54E5A.7	-1.65729354980453	0.0133911942641367	-0.342346970185048
ZK673.6	-4.0802611831191	-0.696828050046974	0
dog-1	-1.99373740069067	0.60480562834058	0.261113089828978
R10E9.3	-3.27502939047772	1.63545433737325	0.544592045359732
hmp-2	-1.07513278103777	-1.90417407115958	-0.709331997537616
C36E8.1	-1.79575829818996	0.196619092748708	0.057397764305893
toh-1	-3.29617690267737	1.86851408807781	0
ape-1	-1.09315161359023	-1.422957000725	-0.732322278166204
C06A1.2	-4.78571474642109	0.533310189989099	0
col-14	-5.62909322941258	0	0.0342606595053877
C50F7.1	-4.1534335014673	2.37537841170308	-2.88199130191602
F32E10.9	-2.68049982415712	-0.98278071365346	-1.34799437808566
Y40C5A.3	-5.54386645843797	0.110136018369559	0
C14A4.7	-5.23064638720671	0	0
cyp-25A4	-3.32309428621814	0.181278021997255	0.790201722859132
mtm-3	-1.55202553044399	-0.179271597235859	-0.296877751101371
M116.5	-1.26864503893122	-1.36887529095205	-0.62153304784488
F14H3.6	-1.0649107605053	-0.778243165181845	-1.34945734785604
frm-1	-2.00711971540582	-0.11397063133741	-0.182476850917754
clec-143	-5.01935797565731	0	0
W08E12.6	-3.90332712771237	1.5302503431305	0
glb-12	-5.28928258034655	0	0
C50B6.3	-1.04398041665609	-0.737036677203012	-0.489866085591457
C36E8.4	-3.33096054321984	-0.251515524949649	-3.05903298968725
F34D10.9	-3.34041556282939	1.0302840176749	0.0195397665788349
R10E9.2	-3.35127908056908	0	0
syn-16	-1.09454217799175	-1.30806006364566	-0.199947182000641
C14A4.9	-5.28512822222527	0	0
glb-11	-3.33471580963843	3.51326008729306	0
R06F6.6	-4.63031456110152	0	0
Y1A5A.1	-3.34985588761035	0	0
cyp-25A3	-3.32382189868065	-2.76168652641618	0
nit-1	-3.34939720171781	0	0
acy-3	-3.34952972476308	0	0
D2096.11	-1.23803034842864	-1.4241931513664	2.18239947362958
C44F1.1	-3.34725358632465	0	0
R06F6.7	-5.19641393350262	0	0
F45E4.3	-4.36112639640312	0	0
lin-48	-3.35134503167517	0	0
F02H6.2	-1.06472371674773	-0.806002696023117	-0.0710215014643388
C08G9.1	-4.51950017189362	0	0
D1069.3	-1.20028042093364	1.27008234205487	0.665164241895037
Y39G10AR.9	-0.964190374017474	-1.39056083096439	-0.108455436928088
cyp-25A2	-3.34277798966264	-3.11587548372271	0
cyp-25A1	-3.34495225540687	-3.40333893350846	0
M28.8	-5.11429483289351	0	0
ZK1058.9	-3.33926953124322	3.05072990942529	0
hlh-2	-1.02075130730221	-1.07306628452891	-1.14059222489899
pxd-1	-3.34719566121296	0.042424692007839	1.19498690765666
Y73F8A.24	-0.911961120909256	-1.43955323331312	-0.302838547009068
R13G10.4	-3.35344760750158	0	0
F59B10.5	-4.53147877443741	0	0
F02H6.3	-1.08281139042195	1.10149568433748	-0.691272748828784
