PROBEID	WORMBASE	UNIGENE	GENENAME	ALIAS	ENTREZID	display
180674_at	WBGene00015367	Cel.36753	Protein SRT-64	srt-64	182140	srt-64
180675_at	WBGene00018518	Cel.17744	Protein F46H5.2	F46H5.2	180989	F46H5.2
180676_at	WBGene00022820	Cel.9208	Protein ZK813.1	ZK813.1	180636	ZK813.1
180677_s_at	WBGene00022820	Cel.9208	Protein ZK813.1	ZK813.1	180636	ZK813.1
180678_at	WBGene00008589	Cel.8163	Protein F08G12.8	F08G12.8	184213	F08G12.8
180679_at	WBGene00011540	Cel.2423	Protein T06E6.10	T06E6.10	188189	T06E6.10
180680_at	WBGene00005004	Cel.27199	Protein SPP-19	spp-19	186974	spp-19
180681_at	WBGene00020665	Cel.27771	Protein T22B2.1	T22B2.1	188716	T22B2.1
180682_at	NA	NA	NA	NA	NA	180682_at
180683_at	WBGene00019559	Cel.27278	Protein SRBC-13	srbc-13	187202	srbc-13
180684_s_at	WBGene00009245	Cel.17030	Protein RICT-1	rict-1	3565035	rict-1
180685_at	WBGene00016918	Cel.13240	Protein C54E4.2	C54E4.2	177010	C54E4.2
180686_at	WBGene00010487	Cel.36984	Protein K02A11.2	K02A11.2	186863	K02A11.2
180687_at	WBGene00019611	Cel.6816	Protein K10B3.5	K10B3.5	180599	K10B3.5
180688_at	WBGene00016515	Cel.26027	Protein C38C3.7	C38C3.7	183302	C38C3.7
180689_at	WBGene00020150	Cel.27518	Protein T01D1.5	T01D1.5	187950	T01D1.5
180690_at	NA	NA	NA	NA	NA	180690_at
180691_at	WBGene00008699	Cel.25298	Protein F11D11.4	F11D11.4	184351	F11D11.4
180692_at	WBGene00018903	Cel.29182	Protein F55G1.7	F55G1.7	186328	F55G1.7
180693_at	WBGene00008999	Cel.23054	Protein F21A10.2	F21A10.2	181229	F21A10.2
180694_at	WBGene00005212	Cel.25329	Protein SRG-55	srg-55	189319	srg-55
180695_at	WBGene00012299	Cel.27957	Protein W06D11.1	W06D11.1	189242	W06D11.1
180696_s_at	WBGene00001862	Cel.19553	Protein HIM-3	him-3	177462	him-3
180697_at	WBGene00019758	Cel.27346	Protein M03F4.4	M03F4.4	187428	M03F4.4
180698_s_at	WBGene00002137	Cel.147	Protein INX-15	inx-15	172004	inx-15
180699_at	NA	NA	NA	NA	NA	180699_at
180700_at	WBGene00018481	Cel.3566	Protein F45F2.9	F45F2.9	185809	F45F2.9
180701_at	NA	NA	NA	NA	NA	180701_at
180702_at	WBGene00013066	Cel.28249	Protein Y51A2B.2	Y51A2B.2	190127	Y51A2B.2
180703_at	WBGene00020886	Cel.17910	Protein TTR-6	ttr-6	189028	ttr-6
180704_at	WBGene00018946	Cel.845	Protein F56C3.9	F56C3.9	186367	F56C3.9
180705_at	WBGene00015276	Cel.5848	Protein C01B7.5	C01B7.5	182058	C01B7.5
180706_at	WBGene00019450	Cel.3106	Protein K06H6.2	K06H6.2	187071	K06H6.2
180707_at	WBGene00010135	Cel.18619	Protein F55H12.4	F55H12.4	186344	F55H12.4
180708_at	WBGene00000861	Cel.26026	Protein CWP-3	cwp-3	183296	cwp-3
180709_at	WBGene00017564	Cel.29560	Protein SRXA-4	srxa-4	184638	srxa-4
180710_at	WBGene00016543	Cel.26046	Protein SRSX-14	srsx-14	183350	srsx-14
180711_at	WBGene00017015	Cel.9089	Protein D1014.2	D1014.2	183895	D1014.2
180712_at	WBGene00021001	Cel.2031	Protein W03F9.3	W03F9.3	189163	W03F9.3
180713_at	WBGene00019558	Cel.27277	Protein SRBC-12	srbc-12	187201	srbc-12
180714_at	WBGene00019072	Cel.40187	Protein FBXC-8	fbxc-8	186554	fbxc-8
180714_at	WBGene00019072	Cel.40263	Protein FBXC-8	fbxc-8	186554	fbxc-8
180715_at	WBGene00012979	Cel.14045	Protein Y48B6A.5	Y48B6A.5	190017	Y48B6A.5
180716_at	WBGene00010352	Cel.27105	Protein FBXB-76	fbxb-76	186669	fbxb-76
180717_at	WBGene00018521	Cel.986	Protein F46H5.5	F46H5.5	185881	F46H5.5
180718_s_at	WBGene00016561	Cel.19130	Protein ERI-6	eri-6	172050	eri-6
180718_s_at	WBGene00010711	Cel.27271	Protein K09B11.4	K09B11.4	187192	K09B11.4
180718_s_at	NA	Cel.19130	Protein ERI-6	eri-6	13179994	eri-6
180719_at	WBGene00012542	Cel.28090	Protein Y37A1B.9	Y37A1B.9	189603	Y37A1B.9
180720_at	WBGene00019374	Cel.27196	Protein K04A8.2	K04A8.2	186970	K04A8.2
180721_at	WBGene00016669	Cel.13322	Protein ILYS-2	ilys-2	183475	ilys-2
180722_at	NA	NA	NA	NA	NA	180722_at
180723_at	WBGene00020666	Cel.27772	Protein T22B2.2	T22B2.2	188717	T22B2.2
180724_at	WBGene00007274	Cel.19268	Protein C03C11.1	C03C11.1	172862	C03C11.1
180725_at	NA	Cel.390	Protein T08A9.6	T08A9.6	188265	T08A9.6
180726_s_at	WBGene00009679	Cel.12935	Protein F44D12.2	F44D12.2	177861	F44D12.2
180727_at	WBGene00018645	Cel.12891	Protein F49F1.5	F49F1.5	186062	F49F1.5
180728_at	WBGene00017537	Cel.4041	Protein F17A9.5	F17A9.5	184611	F17A9.5
180729_s_at	WBGene00004111	Cel.7421	Protein PQN-21	pqn-21	172398	pqn-21
180730_at	WBGene00017955	Cel.15265	Protein F31E8.5	F31E8.5	174119	F31E8.5
180731_at	WBGene00015245	Cel.36787	Protein B0524.6	B0524.6	182027	B0524.6
180732_at	WBGene00016282	Cel.4619	Protein C31B8.7	C31B8.7	183079	C31B8.7
180733_at	WBGene00018715	Cel.920	Protein F52H2.3	F52H2.3	186131	F52H2.3
180734_at	WBGene00018312	Cel.26799	Protein F41H8.1	F41H8.1	185638	F41H8.1
180735_at	WBGene00020684	Cel.12301	Protein T22D1.5	T22D1.5	177454	T22D1.5
180736_s_at	WBGene00003085	Cel.6220	Protein LST-3	lst-3	178362	lst-3
180737_at	WBGene00016279	Cel.4622	Protein C31B8.1	C31B8.1	183076	C31B8.1
180738_at	WBGene00018222	Cel.3663	Protein F40A3.7	F40A3.7	185509	F40A3.7
180739_at	WBGene00017957	Cel.3806	Protein F31F4.1	F31F4.1	185163	F31F4.1
180740_at	WBGene00006135	Cel.25820	Protein STR-74	str-74	182621	str-74
180741_at	WBGene00018113	Cel.3692	Protein F36H9.5	F36H9.5	185391	F36H9.5
180742_at	WBGene00019331	Cel.36455	Protein DOS-3	dos-3	186905	dos-3
180743_at	WBGene00018738	Cel.907	Protein F53B1.6	F53B1.6	180526	F53B1.6
180744_at	WBGene00017723	Cel.3927	Protein F22F7.6	F22F7.6	184865	F22F7.6
180745_at	WBGene00005864	Cel.34501	Protein SRW-117	srw-117	183444	srw-117
180746_at	WBGene00007791	Cel.10790	Protein C28A5.6	C28A5.6	175579	C28A5.6
180747_s_at	WBGene00001099	Cel.5768	Protein DSC-4	dsc-4	176852	dsc-4
180748_at	NA	NA	NA	NA	NA	180748_at
180749_at	WBGene00017722	Cel.26561	Protein F22F7.4	F22F7.4	184863	F22F7.4
180750_at	WBGene00019107	Cel.27090	Protein F59D6.6	F59D6.6	186616	F59D6.6
180751_s_at	WBGene00018892	Cel.18626	Protein CIR-1	cir-1	172225	cir-1
180752_s_at	WBGene00008377	Cel.4314	Protein D1054.10	D1054.10	179496	D1054.10
180753_at	WBGene00022726	Cel.11609	Protein NHR-249	nhr-249	191307	nhr-249
180754_at	WBGene00016288	Cel.13430	Protein C31H1.5	C31H1.5	183097	C31H1.5
180755_at	WBGene00020351	Cel.20216	Protein T08B6.1	T08B6.1	188275	T08B6.1
180756_at	WBGene00019454	Cel.27233	Protein K06H6.6	K06H6.6	187075	K06H6.6
180757_at	WBGene00007502	Cel.15903	Protein GLB-4	glb-4	182480	glb-4
180758_at	WBGene00003744	Cel.25030	Protein NLP-6	nlp-6	188798	nlp-6
180759_at	WBGene00018111	Cel.3695	Protein F36H9.2	F36H9.2	185389	F36H9.2
180760_at	WBGene00017149	Cel.11079	Protein EGAP4.1	EGAP4.1	184049	EGAP4.1
180761_at	WBGene00018332	Cel.12953	Protein F42A9.3	F42A9.3	177665	F42A9.3
180762_at	WBGene00015681	Cel.36734	Protein C10G8.2	C10G8.2	182501	C10G8.2
180763_at	WBGene00022584	Cel.1390	Protein ZC266.1	ZC266.1	191134	ZC266.1
180764_at	WBGene00019387	Cel.27206	Protein K04F1.8	K04F1.8	186994	K04F1.8
180765_at	WBGene00020938	Cel.30717	Protein CLEC-218	clec-218	189114	clec-218
180765_at	WBGene00044356	Cel.27914	Protein W02D7.12	W02D7.12	3564900	W02D7.12
180766_at	WBGene00017418	Cel.12854	Protein F13B6.3	F13B6.3	177516	F13B6.3
180767_at	NA	Cel.36877	Protein C06G3.4	C06G3.4	182342	C06G3.4
180768_at	WBGene00018184	Cel.39048	Protein F38E9.1	F38E9.1	181712	F38E9.1
180769_at	WBGene00012770	Cel.12015	Protein SRT-47	srt-47	189832	srt-47
180770_at	WBGene00018660	Cel.34586	Protein F52C6.3	F52C6.3	186085	F52C6.3
180771_at	WBGene00016458	Cel.19153	Protein C35E7.6	C35E7.6	183243	C35E7.6
180772_at	WBGene00011542	Cel.2420	Protein FBXA-104	fbxa-104	188192	fbxa-104
180773_at	WBGene00015573	Cel.24560	Protein C07G1.7	C07G1.7	182378	C07G1.7
180774_at	WBGene00010031	Cel.26969	Protein F54B11.8	F54B11.8	186215	F54B11.8
180775_s_at	WBGene00015555	Cel.5501	Protein C06G3.9	C06G3.9	177471	C06G3.9
180776_at	WBGene00008696	Cel.36683	Protein CLEC-255	clec-255	184348	clec-255
180777_at	WBGene00012773	Cel.28159	Protein SRT-48	srt-48	189835	srt-48
180778_at	WBGene00007050	Cel.15364	Protein TAG-184	tag-184	174080	tag-184
180779_s_at	WBGene00013100	Cel.11954	Protein ZIP-7	zip-7	178459	zip-7
180780_at	WBGene00021124	Cel.27988	Protein W10C4.1	W10C4.1	189329	W10C4.1
180781_s_at	WBGene00003508	Cel.32710	Protein MUT-16	mut-16	172873	mut-16
180782_at	WBGene00015243	Cel.29124	Protein B0524.4	B0524.4	182026	B0524.4
180783_at	WBGene00016084	Cel.5970	Protein C25A8.4	C25A8.4	177464	C25A8.4
180784_at	WBGene00019812	Cel.10236	Protein R01H2.4	R01H2.4	187511	R01H2.4
180785_at	WBGene00008535	Cel.13178	Protein F02H6.2	F02H6.2	184102	F02H6.2
180785_at	WBGene00010483	Cel.35302	Protein K01G12.3	K01G12.3	186853	K01G12.3
180786_at	WBGene00019563	Cel.23804	Protein K09C6.9	K09C6.9	187204	K09C6.9
180787_at	WBGene00017779	Cel.419	Protein F25E2.1	F25E2.1	180427	F25E2.1
180788_at	WBGene00010409	Cel.25008	Protein H21P03.2	H21P03.2	186758	H21P03.2
180789_s_at	WBGene00018186	NA	Protein F38E9.4	F38E9.4	185469	F38E9.4
180789_s_at	NA	NA	Protein Y73B6BL.16	Y73B6BL.16	190652	Y73B6BL.16
180790_at	NA	Cel.35639	Protein TAG-199	tag-199	185795	tag-199
180791_at	WBGene00006882	Cel.15144	Protein VAB-19	vab-19	173599	vab-19
180792_at	WBGene00005755	Cel.3286	Protein SRW-8	srw-8	186615	srw-8
180793_at	WBGene00010709	Cel.12618	Protein NOL-9	nol-9	187190	nol-9
180794_at	WBGene00019451	Cel.27230	Protein NSTP-7	nstp-7	187072	nstp-7
180795_at	NA	NA	NA	NA	NA	180795_at
180796_at	WBGene00017061	Cel.26250	Protein OAC-12	oac-12	183958	oac-12
180797_s_at	WBGene00008698	Cel.31662	Protein F11D11.3	F11D11.3	184350	F11D11.3
180797_s_at	WBGene00008699	Cel.25298	Protein F11D11.4	F11D11.4	184351	F11D11.4
180798_at	WBGene00020348	Cel.16786	Protein MRPL-23	mrpl-23	188274	mrpl-23
180799_at	WBGene00016951	Cel.13237	Protein C55C3.1	C55C3.1	183851	C55C3.1
180800_at	WBGene00001649	Cel.22971	Protein GOB-1	gob-1	181637	gob-1
180801_at	WBGene00005690	Cel.4555	Protein SRU-27	sru-27	183300	sru-27
180802_s_at	WBGene00005691	Cel.33045	Protein SRU-28	sru-28	183299	sru-28
180802_s_at	WBGene00005690	Cel.4555	Protein SRU-27	sru-27	183300	sru-27
180803_at	WBGene00005582	Cel.1587	Protein SRI-70	sri-70	190450	sri-70
180804_at	WBGene00013182	Cel.28278	Protein Y53H1B.4	Y53H1B.4	190247	Y53H1B.4
180805_at	WBGene00008700	Cel.26379	Protein CLEC-254	clec-254	184352	clec-254
180806_at	WBGene00018945	Cel.846	Protein F56C3.8	F56C3.8	180477	F56C3.8
180807_at	NA	NA	NA	NA	NA	180807_at
180808_at	WBGene00012313	Cel.40062	Protein W06G6.11	W06G6.11	189261	W06G6.11
180808_at	WBGene00219308	Cel.36583	Protein W06G6.20	W06G6.20	13217533	W06G6.20
180809_at	WBGene00016025	Cel.13497	Protein XBX-4	xbx-4	182822	xbx-4
180810_at	WBGene00011190	Cel.25019	Protein SWT-6	swt-6	187765	swt-6
180811_at	WBGene00019950	Cel.12497	Protein CLEC-175	clec-175	187697	clec-175
180812_s_at	WBGene00010479	Cel.18107	Protein K01G5.8	K01G5.8	176500	K01G5.8
180813_s_at	WBGene00015271	Cel.34242	Protein Y19D10A.4	Y19D10A.4	178718	Y19D10A.4
180813_s_at	WBGene00021219	Cel.34242	Protein Y19D10A.4	Y19D10A.4	178718	Y19D10A.4
180813_s_at	WBGene00015271	Cel.34515	Protein C01B4.7	C01B4.7	178722	C01B4.7
180813_s_at	WBGene00021219	Cel.34515	Protein C01B4.7	C01B4.7	178722	C01B4.7
180814_s_at	WBGene00008607	Cel.17804	Protein F09B12.3	F09B12.3	181605	F09B12.3
180815_at	WBGene00010484	Cel.12693	Protein DPH-3	dph-3	186854	dph-3
180816_at	NA	Cel.23880	Protein TAG-80	tag-80	189351	tag-80
180817_at	WBGene00012281	Cel.2012	Protein W05E10.2	W05E10.2	189214	W05E10.2
180818_at	WBGene00012005	Cel.14289	Protein JUN-1	1-Jun	174452	1-Jun
180819_at	WBGene00016459	Cel.19152	Protein C35E7.7	C35E7.7	183244	C35E7.7
180820_at	WBGene00010586	Cel.23792	Protein K05C4.10	K05C4.10	187022	K05C4.10
180821_at	WBGene00007105	Cel.4993	Protein B0035.1	B0035.1	178042	B0035.1
180822_at	WBGene00005056	Cel.28147	Protein SRA-30	sra-30	189805	sra-30
180823_at	WBGene00012819	Cel.1777	Protein Y43F8B.9	Y43F8B.9	180276	Y43F8B.9
180824_at	WBGene00015461	Cel.9315	Protein C05C8.2	C05C8.2	179115	C05C8.2
180825_at	WBGene00012513	Cel.543	Protein Y26E6A.2	Y26E6A.2	189552	Y26E6A.2
180826_at	NA	NA	NA	NA	NA	180826_at
180827_at	WBGene00018649	Cel.26921	Protein F49F1.9	F49F1.9	186065	F49F1.9
180828_at	WBGene00022827	Cel.9204	Protein ZK816.4	ZK816.4	191431	ZK816.4
180829_at	WBGene00009077	Cel.13081	Protein F23B2.10	F23B2.10	184885	F23B2.10
180830_at	WBGene00020428	Cel.27673	Protein T11F1.2	T11F1.2	188410	T11F1.2
180831_at	WBGene00018089	Cel.3720	Protein F36D4.4	F36D4.4	179322	F36D4.4
180832_at	WBGene00009151	Cel.3881	Protein F26D2.13	F26D2.13	184967	F26D2.13
180833_s_at	WBGene00003752	Cel.6147	Protein NLP-14	nlp-14	181137	nlp-14
180834_at	WBGene00017918	Cel.32829	Protein F29A7.8	F29A7.8	185107	F29A7.8
180835_at	WBGene00012812	Cel.1784	Protein Y43F8B.1	Y43F8B.1	180279	Y43F8B.1
180836_at	WBGene00012575	Cel.28104	Protein Y37H2C.4	Y37H2C.4	189637	Y37H2C.4
180837_at	WBGene00020339	Cel.20738	Protein TTR-59	ttr-59	188262	ttr-59
180837_at	WBGene00020335	Cel.23999	Protein TTR-30	ttr-30	259716	ttr-30
180838_at	WBGene00022739	Cel.17421	Protein TOE-1	toe-1	173779	toe-1
180839_at	WBGene00010030	Cel.891	Protein F54B11.7	F54B11.7	186214	F54B11.7
180840_at	WBGene00016958	Cel.20239	Protein ILYS-4	ilys-4	183853	ilys-4
180841_at	WBGene00007868	Cel.13424	Protein C32H11.5	C32H11.5	183129	C32H11.5
180842_s_at	WBGene00007886	Cel.13415	Protein ETHE-1	ethe-1	177783	ethe-1
180843_at	WBGene00021010	Cel.12216	Protein W03G1.2	W03G1.2	189165	W03G1.2
180844_at	WBGene00012810	Cel.1787	Protein Y43F8A.3	Y43F8A.3	189866	Y43F8A.3
180845_s_at	WBGene00019944	Cel.14612	Protein R07G3.8	R07G3.8	174234	R07G3.8
180846_at	WBGene00016164	Cel.36927	Protein C27D9.2	C27D9.2	182965	C27D9.2
180847_at	WBGene00005537	Cel.4531	Protein SRI-25	sri-25	183386	sri-25
180848_at	WBGene00015636	Cel.37006	Protein C09D4.6	C09D4.6	182447	C09D4.6
180849_at	WBGene00007296	Cel.5945	Protein ARRD-25	arrd-25	181514	arrd-25
180850_at	WBGene00020608	Cel.27751	Protein SRAB-22	srab-22	188638	srab-22
180851_at	WBGene00012537	Cel.28087	Protein Y37A1B.4	Y37A1B.4	189600	Y37A1B.4
180852_at	WBGene00009261	Cel.18829	Protein F30A10.2	F30A10.2	172776	F30A10.2
180853_at	WBGene00019324	Cel.19001	Protein K02F2.5	K02F2.5	183992	K02F2.5
180854_at	WBGene00020032	Cel.149	Protein R12E2.6	R12E2.6	187842	R12E2.6
180855_s_at	WBGene00003907	Cel.9185	Protein PAF-2	paf-2	180704	paf-2
180856_at	WBGene00015704	Cel.19240	Protein CGEF-2	cgef-2	259373	cgef-2
180857_at	WBGene00005865	Cel.34502	Protein SRW-118	srw-118	183443	srw-118
180858_at	WBGene00020379	Cel.23075	Protein T09B4.5	T09B4.5	172300	T09B4.5
180859_at	WBGene00007667	Cel.11325	Protein FBXA-97	fbxa-97	182775	fbxa-97
180860_at	WBGene00017106	Cel.26263	Protein E02H9.9	E02H9.9	184004	E02H9.9
180861_at	WBGene00015620	Cel.13549	Protein C08G9.2	C08G9.2	177545	C08G9.2
180862_s_at	WBGene00020301	Cel.17121	Protein T07D1.2	T07D1.2	180548	T07D1.2
180863_at	NA	Cel.27989	Protein W10D9.1	W10D9.1	189333	W10D9.1
180864_at	WBGene00020939	Cel.2052	Protein W02D7.3	W02D7.3	189115	W02D7.3
180865_at	WBGene00016298	Cel.15746	Protein FBXC-14	fbxc-14	183109	fbxc-14
180866_at	WBGene00020265	Cel.2464	Protein FBXA-196	fbxa-196	188148	fbxa-196
180867_at	NA	Cel.22753	Protein SEA-2	sea-2	173738	sea-2
180868_at	WBGene00015242	Cel.25634	Protein B0524.3	B0524.3	182025	B0524.3
180869_at	WBGene00015718	Cel.4817	Protein C13A2.1	C13A2.1	182549	C13A2.1
180870_at	WBGene00022547	Cel.1399	Protein ZC196.3	ZC196.3	191102	ZC196.3
180871_at	WBGene00016626	Cel.15677	Protein CLHM-1	clhm-1	183429	clhm-1
180872_at	WBGene00011784	Cel.16744	Protein T15D6.10	T15D6.10	188536	T15D6.10
180873_at	WBGene00008984	Cel.36677	Protein F20E11.7	F20E11.7	184735	F20E11.7
180874_at	WBGene00007295	Cel.11473	Protein C04C11.1	C04C11.1	181513	C04C11.1
180875_at	WBGene00018158	Cel.18748	Protein F37E3.3	F37E3.3	185428	F37E3.3
180876_at	WBGene00011013	Cel.27396	Protein SRXA-8	srxa-8	187578	srxa-8
180877_s_at	WBGene00004129	Cel.15002	Protein PQN-42	pqn-42	173600	pqn-42
180878_at	WBGene00008518	Cel.26290	Protein F02C12.4	F02C12.4	184077	F02C12.4
180879_at	WBGene00006407	Cel.5046	Protein LIM-9	lim-9	3565712	lim-9
180880_at	WBGene00019449	Cel.3107	Protein K06H6.1	K06H6.1	187070	K06H6.1
180881_at	WBGene00020365	Cel.379	Protein T08G2.2	T08G2.2	188291	T08G2.2
180882_s_at	WBGene00017560	Cel.15363	Protein F18C5.5	F18C5.5	174084	F18C5.5
180883_at	WBGene00012778	Cel.17962	Protein Y42A5A.3	Y42A5A.3	189840	Y42A5A.3
180884_at	WBGene00020264	Cel.2465	Protein ACL-8	acl-8	179031	acl-8
180885_s_at	WBGene00011935	Cel.6961	Protein SCRM-1	scrm-1	173053	scrm-1
180886_s_at	WBGene00007978	Cel.19143	Protein C36B1.11	C36B1.11	172685	C36B1.11
180887_at	WBGene00017017	Cel.26235	Protein D1014.4	D1014.4	183896	D1014.4
180888_at	WBGene00008515	Cel.17051	Protein F02C12.1	F02C12.1	181461	F02C12.1
180889_at	WBGene00020550	Cel.10028	Protein T17H7.1	T17H7.1	175228	T17H7.1
180890_at	WBGene00013152	Cel.28271	Protein Y53F4B.5	Y53F4B.5	190208	Y53F4B.5
180891_at	WBGene00009596	Cel.3639	Protein SRE-8	sre-8	185561	sre-8
180892_at	WBGene00020175	Cel.14482	Protein T02H6.5	T02H6.5	173458	T02H6.5
180893_s_at	WBGene00020030	Cel.17411	Protein R12E2.1	R12E2.1	172012	R12E2.1
180894_at	WBGene00018683	Cel.23758	Protein F52D1.2	F52D1.2	186101	F52D1.2
180895_at	WBGene00019640	Cel.14763	Protein DOS-2	dos-2	187282	dos-2
180896_at	WBGene00020189	NA	Protein T03F1.7	T03F1.7	188022	T03F1.7
180897_at	WBGene00013096	Cel.13982	Protein MCD-1	mcd-1	175040	mcd-1
180898_at	WBGene00012541	Cel.28089	Protein Y37A1B.8	Y37A1B.8	189602	Y37A1B.8
180899_at	WBGene00009095	Cel.3919	Protein F23H12.7	F23H12.7	184912	F23H12.7
180900_at	WBGene00018663	Cel.29043	Protein MATH-31	math-31	186088	math-31
180901_at	WBGene00018270	Cel.22159	Protein F41C3.4	F41C3.4	173819	F41C3.4
180902_s_at	WBGene00017778	Cel.18121	Protein PSF-1	psf-1	175844	psf-1
180903_at	WBGene00009603	Cel.26773	Protein SRT-33	srt-33	185568	srt-33
180904_at	NA	NA	NA	NA	NA	180904_at
180905_at	WBGene00010514	Cel.3178	Protein K02E11.5	K02E11.5	186896	K02E11.5
180906_s_at	WBGene00012615	Cel.7759	Protein DCT-16	dct-16	180345	dct-16
180907_at	WBGene00005105	Cel.2146	Protein SRD-27	srd-27	188938	srd-27
180908_s_at	WBGene00005106	Cel.33098	Protein SRD-28	srd-28	187353	srd-28
180908_s_at	WBGene00005105	Cel.2146	Protein SRD-27	srd-27	188938	srd-27
180909_at	WBGene00007867	Cel.13425	Protein C32H11.4	C32H11.4	178244	C32H11.4
180910_at	WBGene00019997	Cel.10186	Protein R10F2.6	R10F2.6	175405	R10F2.6
180911_at	WBGene00018697	Cel.3467	Protein F52E1.9	F52E1.9	186115	F52E1.9
180912_at	WBGene00012317	Cel.17090	Protein ZTF-6	ztf-6	173014	ztf-6
180913_at	WBGene00000169	Cel.15262	Protein AQP-1	aqp-1	174190	aqp-1
180914_at	WBGene00007881	Cel.20692	Protein NLP-35	nlp-35	183138	nlp-35
180915_at	WBGene00020266	Cel.27585	Protein T05H4.3	T05H4.3	188149	T05H4.3
180916_at	WBGene00015633	Cel.19253	Protein C09D4.2	C09D4.2	182446	C09D4.2
180917_at	WBGene00020940	Cel.2051	Protein W02D7.4	W02D7.4	189116	W02D7.4
180918_at	WBGene00017704	Cel.30655	Protein F22E5.2	F22E5.2	184832	F22E5.2
180919_s_at	WBGene00001037	Cel.5628	Protein DNJ-19	dnj-19	3565862	dnj-19
180920_s_at	WBGene00014194	Cel.1254	Protein ZK1037.6	ZK1037.6	180034	ZK1037.6
180921_at	WBGene00012966	Cel.9761	Protein EXOS-1	exos-1	176532	exos-1
180922_at	WBGene00016865	Cel.20166	Protein ETS-9	ets-9	180702	ets-9
180923_at	WBGene00009685	Cel.12932	Protein F44D12.8	F44D12.8	177864	F44D12.8
180924_at	WBGene00017200	Cel.4242	Protein F07C4.6	F07C4.6	184131	F07C4.6
180925_at	WBGene00018643	Cel.12892	Protein F49F1.1	F49F1.1	177176	F49F1.1
180926_at	WBGene00005843	Cel.3146	Protein SRW-96	srw-96	186989	srw-96
180927_at	WBGene00005955	Cel.27241	Protein SRX-64	srx-64	187095	srx-64
180928_at	WBGene00020632	Cel.327	Protein T20F7.5	T20F7.5	181733	T20F7.5
180929_s_at	WBGene00015684	Cel.4833	Protein C10G8.8	C10G8.8	178920	C10G8.8
180930_s_at	WBGene00017780	Cel.1123	Protein F25E2.2	F25E2.2	180428	F25E2.2
180931_at	WBGene00009683	Cel.12933	Protein F44D12.6	F44D12.6	260110	F44D12.6
180932_at	NA	NA	NA	NA	NA	180932_at
180933_at	WBGene00010368	Cel.789	Protein H06A10.1	H06A10.1	186696	H06A10.1
180934_at	WBGene00019609	Cel.682	Protein K10B3.1	K10B3.1	187247	K10B3.1
180935_s_at	WBGene00015226	Cel.9411	Protein B0507.9	B0507.9	179253	B0507.9
180936_at	WBGene00022549	Cel.28576	Protein ZC196.5	ZC196.5	191104	ZC196.5
180937_at	WBGene00015341	Cel.25660	Protein C02E7.8	C02E7.8	182115	C02E7.8
180938_at	WBGene00011008	Cel.2895	Protein R04B5.11	R04B5.11	187572	R04B5.11
180939_s_at	WBGene00015277	Cel.4255	Protein C01B7.7	C01B7.7	182059	C01B7.7
180939_s_at	WBGene00017191	Cel.4255	Protein C01B7.7	C01B7.7	182059	C01B7.7
180939_s_at	WBGene00015277	Cel.33028	Protein F07B7.13	F07B7.13	184119	F07B7.13
180939_s_at	WBGene00017191	Cel.33028	Protein F07B7.13	F07B7.13	184119	F07B7.13
180940_s_at	WBGene00015997	Cel.23390	Protein C18H7.7	C18H7.7	176887	C18H7.7
180941_at	WBGene00000227	Cel.32723	Protein ATM-1	atm-1	3565793	atm-1
180942_at	NA	Cel.25975	Protein C31H1.7	C31H1.7	183099	C31H1.7
180943_at	WBGene00020585	Cel.12318	Protein CLEC-178	clec-178	177344	clec-178
180944_s_at	WBGene00017448	Cel.9056	Protein F14B8.6	F14B8.6	180966	F14B8.6
180945_s_at	WBGene00009877	Cel.12909	Protein F49C12.7	F49C12.7	177751	F49C12.7
180946_at	WBGene00016670	Cel.13321	Protein ILYS-3	ilys-3	177033	ilys-3
180947_at	WBGene00005887	Cel.25665	Protein SRW-140	srw-140	182135	srw-140
180948_at	WBGene00018694	Cel.21556	Protein F52E1.5	F52E1.5	3565082	F52E1.5
180949_at	WBGene00012798	Cel.28169	Protein Y43F4A.3	Y43F4A.3	189860	Y43F4A.3
180950_at	NA	NA	NA	NA	NA	180950_at
180951_s_at	WBGene00011980	Cel.39301	Protein T24B8.7	T24B8.7	174440	T24B8.7
180952_at	WBGene00005822	Cel.27967	Protein SRW-75	srw-75	189263	srw-75
180953_at	WBGene00013934	Cel.21220	Protein ZK131.11	ZK131.11	175024	ZK131.11
180954_at	NA	Cel.13319	Protein CDH-10	cdh-10	183476	cdh-10
180955_s_at	WBGene00002850	Cel.5343	Protein LET-716	let-716	175906	let-716
180956_at	WBGene00012573	Cel.1878	Protein Y37H2C.1	Y37H2C.1	189635	Y37H2C.1
180957_s_at	WBGene00019335	Cel.27168	Protein K02F6.1	K02F6.1	186906	K02F6.1
180958_at	WBGene00005845	Cel.29227	Protein SRW-98	srw-98	186990	srw-98
180959_s_at	WBGene00009636	Cel.1021	Protein F42F12.4	F42F12.4	181393	F42F12.4
180960_at	WBGene00007552	Cel.4804	Protein C13C12.2	C13C12.2	182568	C13C12.2
180961_at	WBGene00017401	Cel.29411	Protein F12D9.2	F12D9.2	184379	F12D9.2
180962_s_at	WBGene00011936	Cel.16709	Protein PGRN-1	pgrn-1	173054	pgrn-1
180963_at	NA	NA	NA	NA	NA	180963_at
180964_s_at	WBGene00008422	Cel.10662	Protein D2045.2	D2045.2	176464	D2045.2
